quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
11:5,754,370,231,153,0,-0.0010296246496139133,0.00046487815960641224
11:6,722,416,182,124,0,-0.0010296246496125463,0.0005578537915276947
11:7,683,452,155,76,0,-0.0010296246496111791,0.0006508294234489772
11:8,811,602,155,54,0,-0.0010296246496098124,0.0007438050553702596
11:9,764,556,118,90,0,-0.0010296246496084454,0.0008367806872915421
11:10,792,471,182,139,0,-0.0010296246496070782,0.0009297563192128246
11:11,842,289,318,235,1,-0.0010296246496057115,0.001022731951134107
11:12,867,183,339,345,2,-0.0010296246496043445,0.0011157075830553894
11:13,58,10,27,21,1,-0.0010296246496029773,0.0012086832149766718
11:14,0,0,0,0,1,-0.0010296246496016106,0.0013016588468979541
12:0,847,148,364,335,1,-0.0011232268904951298,0.0
12:1,905,258,329,318,1,-0.0011232268904936382,9.297563192411691e-05
12:2,876,192,386,298,1,-0.0011232268904921463,0.00018595126384823382
12:3,866,108,355,403,2,-0.0011232268904906545,0.00027892689577235075
12:4,836,216,336,284,1,-0.0011232268904891626,0.00037190252769646765
12:5,770,361,269,140,0,-0.0011232268904876705,0.00046487815962058455
12:6,828,201,290,337,2,-0.0011232268904861789,0.0005578537915447015
12:7,804,297,288,219,0,-0.001123226890484687,0.0006508294234688184
12:8,838,382,340,116,0,-0.0011232268904831952,0.0007438050553929353
12:9,773,478,248,47,0,-0.001123226890481703,0.0008367806873170522
12:10,775,614,148,13,0,-0.0011232268904802114,0.0009297563192411691
12:11,754,570,156,28,0,-0.0011232268904787196,0.001022731951165286
12:12,771,397,266,108,0,-0.0011232268904772277,0.001115707583089403
12:13,48,19,15,14,0,-0.0011232268904757359,0.00120868321501352
12:14,0,0,0,0,0,-0.0011232268904742438,0.0013016588469376368
13:0,58,8,22,28,2,-0.0012168291313694522,0.0
13:1,55,14,19,22,2,-0.0012168291313678398,9.29756319271979e-05
13:2,60,18,19,23,2,-0.0012168291313662297,0.0001859512638543958
13:3,60,5,13,42,2,-0.00121682913136462,0.00027892689578159374
13:4,68,12,31,25,1,-0.0012168291313630103,0.0003719025277087916
13:5,53,25,17,11,0,-0.0012168291313614003,0.00046487815963598954
13:6,51,3,11,37,2,-0.0012168291313597905,0.0005578537915631875
13:7,64,15,22,27,2,-0.0012168291313581808,0.0006508294234903854
13:8,68,19,35,14,1,-0.001216829131356571,0.0007438050554175832
13:9,65,39,21,5,0,-0.001216829131354961,0.0008367806873447811
13:10,57,36,19,2,0,-0.0012168291313533514,0.000929756319271979
13:11,70,50,16,4,0,-0.0012168291313517416,0.001022731951199177
13:12,70,40,23,7,0,-0.0012168291313501315,0.001115707583126375
13:13,3,1,1,1,0,-0.001216829131348522,0.001208683215053573
13:14,0,0,0,0,0,-0.001216829131346912,0.001301658846980771
14:0,0,0,0,0,0,-0.0013104313722437093,0.0
14:1,0,0,0,0,0,-0.0013104313722419718,9.297563193052539e-05
14:2,0,0,0,0,0,-0.001310431372240237,0.00018595126386105075
14:3,0,0,0,0,0,-0.001310431372238502,0.0002789268957915761
14:4,0,0,0,0,0,-0.0013104313722367676,0.0003719025277221015
14:5,0,0,0,0,0,-0.0013104313722350329,0.0004648781596526269
14:6,0,0,0,0,0,-0.0013104313722332981,0.0005578537915831523
14:7,0,0,0,0,0,-0.0013104313722315634,0.0006508294235136777
14:8,0,0,0,0,0,-0.0013104313722298287,0.0007438050554442031
14:9,0,0,0,0,0,-0.001310431372228094,0.0008367806873747285
14:10,0,0,0,0,0,-0.001310431372226359,0.0009297563193052539
14:11,0,0,0,0,0,-0.0013104313722246243,0.0010227319512357792
14:12,0,0,0,0,0,-0.0013104313722228898,0.0011157075831663046
14:13,0,0,0,0,0,-0.001310431372221155,0.00120868321509683
14:14,0,0,0,0,0,-0.0013104313722194204,0.0013016588470273554
