quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
2:44,972,185,578,209,1,-0.0001872044817384319,0.004090927803901995
2:45,956,375,462,119,1,-0.00018720448173818212,0.004183903435808858
2:46,933,522,326,85,0,-0.0001872044817379323,0.004276879067715721
2:47,749,512,179,58,0,-0.0001872044817376825,0.004369854699622584
2:48,0,0,0,0,0,-0.00018720448173743272,0.004462830331529447
2:49,0,0,0,0,0,-0.0001872044817371829,0.00455580596343631
3:0,0,0,0,0,0,-0.0002808067226241211,0.0
3:1,0,0,0,0,0,-0.0002808067226237496,9.297563190747961e-05
3:2,0,0,0,0,0,-0.00028080672262337486,0.00018595126381495923
3:3,273,91,142,40,1,-0.00028080672262300016,0.00027892689572243885
3:4,859,244,459,156,1,-0.00028080672262262546,0.0003719025276299185
3:5,865,328,430,107,1,-0.00028080672262225076,0.0004648781595373981
3:6,846,360,449,37,1,-0.0002808067226218761,0.0005578537914448777
3:7,839,214,582,43,1,-0.00028080672262150135,0.0006508294233523573
3:8,832,195,488,149,1,-0.00028080672262112665,0.0007438050552598369
3:9,811,352,398,61,1,-0.000280806722620752,0.0008367806871673165
3:10,806,440,345,21,0,-0.0002808067226203773,0.0009297563190747961
3:11,793,246,514,33,1,-0.00028080672262000255,0.0010227319509822758
3:12,784,255,494,35,1,-0.00028080672261962785,0.0011157075828897554
3:13,747,269,448,30,1,-0.00028080672261925315,0.001208683214797235
3:14,733,220,474,39,1,-0.00028080672261887845,0.0013016588467047146
3:15,712,128,528,56,1,-0.0002808067226185038,0.0013946344786121942
3:16,701,121,504,76,1,-0.00028080672261812905,0.0014876101105196738
3:17,747,131,555,61,1,-0.00028080672261775435,0.0015805857424271534
3:18,767,132,580,55,1,-0.0002808067226173797,0.001673561374334633
3:19,780,224,513,43,1,-0.000280806722617005,0.0017665370062421126
3:20,762,249,472,41,1,-0.00028080672261663025,0.0018595126381495922
3:21,760,197,437,126,1,-0.00028080672261625555,0.0019524882700570718
3:22,812,230,459,123,1,-0.00028080672261588085,0.0020454639019645516
3:23,802,219,504,79,1,-0.0002808067226155062,0.0021384395338720314
3:24,781,151,554,76,1,-0.0002808067226151315,0.0022314151657795113
3:25,783,170,505,108,1,-0.00028080672261475675,0.002324390797686991
3:26,802,178,543,81,1,-0.00028080672261438205,0.002417366429594471
3:27,766,199,515,52,1,-0.0002808067226140074,0.0025103420615019507
3:28,800,164,564,72,1,-0.0002808067226136327,0.0026033176934094305
3:29,798,88,565,145,1,-0.00028080672261325795,0.0026962933253169103
3:30,837,88,593,156,1,-0.00028080672261288325,0.00278926895722439
3:31,818,138,534,146,1,-0.00028080672261250855,0.00288224458913187
3:32,812,140,573,99,1,-0.0002808067226121339,0.00297522022103935
3:33,818,144,596,78,1,-0.0002808067226117592,0.0030681958529468296
3:34,850,205,570,75,1,-0.00028080672261138445,0.0031611714848543094
3:35,852,203,613,36,1,-0.00028080672261100975,0.0032541471167617892
3:36,856,188,623,45,1,-0.0002808067226106351,0.003347122748669269
3:37,856,213,562,81,1,-0.0002808067226102604,0.003440098380576749
3:38,887,209,574,104,1,-0.00028080672260988565,0.0035330740124842287
3:39,854,190,571,93,1,-0.00028080672260951095,0.0036260496443917085
3:40,835,206,556,73,1,-0.0002808067226091362,0.0037190252762991883
3:41,840,200,536,104,1,-0.0002808067226087616,0.003812000908206668
3:42,861,210,548,103,1,-0.0002808067226083869,0.003904976540114148
3:43,846,146,571,129,1,-0.00028080672260801214,0.003997952172021628
3:44,844,196,440,208,1,-0.00028080672260763744,0.004090927803929108
